data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,0,"1012,9","1012,9","1011,5",,"27,2","19,4","27,2","26,6","19,7","19,4",66,62,62,53,"6,5","3,6",2020,01,01
2020/01/01,1,"1,4","1012,9","1013,1","1012,8",,"25,5","19,8","27,3","25,4","19,9","19,3",71,62,71,18,"7,1","3,4",2020,01,01
2020/01/01,2,0,"1012,8","1013,3","1012,8",,"25,5",20,"25,7","25,5","20,2","19,8",72,71,71,28,"5,8",2,2020,01,01
2020/01/01,3,",4","1011,2","1012,8","1011,2",,"25,3","20,3","25,6","25,1","20,3","19,9",74,71,74,52,"3,7","1,7",2020,01,01
2020/01/01,4,0,"1010,5","1011,2","1010,5",,"25,5","20,1","25,6","25,2","20,3","20,1",74,72,72,67,"3,3",",8",2020,01,01
2020/01/01,5,0,"1010,9","1010,9","1010,5",,"25,7","20,1","25,8","25,2","20,2","19,9",73,71,71,16,"2,1","1,2",2020,01,01
2020/01/01,6,0,"1010,8",1011,"1010,8",,"24,8","19,3","25,8","24,8","20,1","19,3",72,71,72,299,"2,6","1,1",2020,01,01
2020/01/01,7,0,"1010,8","1010,9","1010,8",,"24,9","19,5",25,"24,6","19,5","19,1",72,71,72,19,"2,8",",9",2020,01,01
2020/01/01,8,0,"1011,1","1011,3","1010,8",,25,"19,5","25,2","24,9","19,7","19,5",72,72,72,337,3,"1,4",2020,01,01
2020/01/01,9,0,"1011,4","1011,4","1011,1","20,6",25,"19,5",25,"24,8","19,6","19,4",72,72,72,360,"2,9","1,4",2020,01,01
2020/01/01,10,0,"1011,8","1011,8","1011,4","258,3","25,5","19,5","25,6",25,"19,7","19,5",72,69,69,336,"4,5","2,4",2020,01,01
2020/01/01,11,0,"1012,2","1012,2","1011,8","638,9","27,2","20,2","27,2","25,5","20,2","19,6",70,65,66,11,"4,6","2,5",2020,01,01
2020/01/01,12,0,"1012,6","1012,7","1012,1","1086,9","28,4","19,7","28,5","26,8","20,4","19,6",66,59,59,16,"6,4","3,2",2020,01,01
2020/01/01,13,0,"1012,5","1012,7","1012,5","1282,5","28,9","18,2","29,4","28,4","20,1","18,2",60,52,53,21,"7,5","3,2",2020,01,01
2020/01/01,14,0,1012,"1012,6",1012,"1501,5","30,5","17,6","30,7","28,8","19,9","17,6",56,46,46,41,"7,1","3,5",2020,01,01
2020/01/01,15,0,"1011,5",1012,"1011,5","1671,2","29,9","19,2","31,1","29,4","19,4","17,7",55,45,53,80,"6,3","3,8",2020,01,01
2020/01/01,16,0,"1010,8","1011,5","1010,8","1227,1",29,"19,8",30,"28,8","20,1","18,7",58,51,58,81,"6,7","4,3",2020,01,01
2020/01/01,17,0,"1009,9","1010,8","1009,9","1250,1","28,9","19,4","29,5","28,8","20,2",19,59,54,56,80,"8,2","4,5",2020,01,01
2020/01/01,18,0,"1009,4","1009,9","1009,4","1621,5","29,4","19,1","30,3","28,9","19,9","18,6",57,52,54,79,"8,2","4,8",2020,01,01
2020/01/01,19,0,"1008,9","1009,4","1008,9","1928,5","29,5","19,1","30,2","29,2","19,5","18,4",55,51,54,78,"8,7","5,2",2020,01,01
2020/01/01,20,0,"1009,7","1009,7","1008,9","570,7","27,9","18,7","29,5","27,9","19,3","18,4",59,53,57,79,"9,2","4,6",2020,01,01
2020/01/01,21,0,"1010,1","1010,1","1009,6","97,7","27,4","19,6",28,"27,4","20,1","18,7",64,57,62,77,9,"4,8",2020,01,01
2020/01/01,22,0,"1010,5","1010,5","1010,1",,"27,3","19,4","27,5","27,3","19,8","18,4",64,58,62,80,"8,6","5,1",2020,01,01
2020/01/01,23,0,"1010,9",1011,"1010,4",,"27,3","19,8","27,4","27,3","19,9","19,3",64,61,64,71,"9,1","4,6",2020,01,01
2020/01/02,0,0,"1011,9","1011,9","1010,8",,"27,4","19,8","27,4","27,3","20,1","19,6",65,63,63,67,"8,9",4,2020,01,02
2020/01/02,1,0,"1012,3","1012,4","1011,9",,"27,4","18,9","27,4","27,3","19,8","18,6",63,59,60,64,"7,6",4,2020,01,02
2020/01/02,2,0,"1012,4","1012,4","1012,2",,"27,3","19,5","27,4","27,2","19,7","18,9",63,60,63,61,"7,5","3,7",2020,01,02
2020/01/02,3,0,"1011,7","1012,4","1011,7",,"27,1","19,4","27,3","27,1","19,5",19,63,61,63,56,"7,3","2,8",2020,01,02
2020/01/02,4,0,"1010,8","1011,7","1010,8",,27,"19,3","27,1",27,"19,7","19,3",64,63,63,48,"7,1","2,9",2020,01,02
2020/01/02,5,0,1010,"1010,8",1010,,"26,8","19,5","27,1","26,8","19,5","19,2",64,62,64,41,"5,9","2,7",2020,01,02
2020/01/02,6,0,"1009,7",1010,"1009,7",,"26,2","19,5","26,8","26,2","19,7","19,5",66,64,66,18,"5,2","2,1",2020,01,02
2020/01/02,7,0,"1009,9","1009,9","1009,6",,26,"19,5","26,2",26,"19,6","19,4",67,66,67,24,"4,5",2,2020,01,02
2020/01/02,8,0,"1010,6","1010,6","1009,9",,26,"19,2","26,1",26,"19,5","19,2",67,66,66,24,"4,8","2,5",2020,01,02
2020/01/02,9,0,"1011,7","1011,7","1010,6","21,2","26,2","18,8","26,2","25,9","19,2","18,7",66,64,64,20,"7,3","3,1",2020,01,02
