data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,0,"960,6","960,6","959,8",,25,"21,6","25,6",25,"21,7","21,4",82.0,78.0,82.0,52.0,"3,7",",5",2020,01,01
2020/01/01,1,0,"961,2","961,2","960,6",,"24,6","21,5","25,1","24,6","21,6","21,4",83.0,80.0,83.0,24.0,"3,4",",2",2020,01,01
2020/01/01,2,0,961,"961,3",961,,24,"21,6","24,6",24,"21,7","21,4",87.0,83.0,87.0,20.0,"4,1","1,3",2020,01,01
2020/01/01,3,0,"960,4",961,"960,4",,"23,7","21,9",24,"23,7","21,9","21,6",90.0,87.0,90.0,16.0,"3,6","1,7",2020,01,01
2020/01/01,4,0,"960,5","960,7","960,4",,"23,3","22,1","23,7","23,3","22,2","21,9",93.0,90.0,93.0,8.0,"3,5",1,2020,01,01
2020/01/01,5,0,"960,3","960,5","960,3",,23,"22,2","23,3",23,"22,2","22,1",95.0,93.0,95.0,359.0,"3,5",",8",2020,01,01
2020/01/01,6,0,"960,3","960,5","960,3",,"22,8",22,23,"22,8","22,2",22,96.0,94.0,96.0,23.0,"3,1",",3",2020,01,01
2020/01/01,7,0,"960,5","960,5","960,1",,"22,4",22,"22,8","22,4","22,1","21,9",97.0,95.0,97.0,114.0,"3,2",0,2020,01,01
2020/01/01,8,0,"960,6","960,6","960,4",,"22,6","22,1","22,6","22,4","22,1",22,97.0,97.0,97.0,353.0,"1,8",",1",2020,01,01
2020/01/01,9,0,"961,2","961,2","960,6","40,2","22,4","22,1","22,6","22,4","22,2","22,1",98.0,97.0,98.0,60.0,"1,9",0,2020,01,01
2020/01/01,10,0,"961,6","961,6","961,2","620,1","24,6","22,8","24,6","22,4","23,1","22,2",99.0,90.0,90.0,22.0,"2,3",",4",2020,01,01
2020/01/01,11,0,"961,8","961,8","961,5","1448,6","25,7","21,5","25,9","24,5","22,9","21,5",90.0,77.0,78.0,334.0,"6,2","3,2",2020,01,01
2020/01/01,12,0,"962,3","962,3","961,8","1927,1","26,9","21,7","26,9","25,7",22,"21,5",78.0,73.0,73.0,330.0,"7,5","2,9",2020,01,01
2020/01/01,13,0,"962,1","962,3",962,"2654,5",29,22,29,"26,9","22,1","21,3",73.0,65.0,66.0,348.0,"7,6","3,6",2020,01,01
2020/01/01,14,0,"961,5","962,1","961,5","2955,4","29,9","21,4","30,2","28,6","22,3","21,1",66.0,60.0,61.0,331.0,"7,5","3,1",2020,01,01
2020/01/01,15,0,"960,6","961,5","960,6","3605,7","31,1","21,5","31,4","29,6","21,8","20,9",62.0,55.0,57.0,327.0,7,"3,2",2020,01,01
2020/01/01,16,0,"959,4","960,6","959,4","3737,4","32,7","21,6","32,7","30,9","21,9","20,7",58.0,51.0,52.0,344.0,"8,5","2,7",2020,01,01
2020/01/01,17,0,"957,9","959,4","957,9","3426,4","33,1","20,2","33,3","31,6","21,8","20,2",53.0,47.0,47.0,350.0,"6,8","2,9",2020,01,01
2020/01/01,18,0,"956,9",958,"956,9","2905,7","33,6","20,3","33,8","32,3",21,"19,7",49.0,45.0,46.0,348.0,"7,3","2,4",2020,01,01
2020/01/01,19,0,956,"956,9",956,"2085,9","33,8","20,2","34,2","32,9","20,7","19,7",48.0,45.0,45.0,5.0,"6,9","1,9",2020,01,01
2020/01/01,20,0,"955,8",956,"955,7","1246,5",33,"19,9","33,9","32,8","20,5","19,4",46.0,44.0,46.0,336.0,"6,4","1,9",2020,01,01
2020/01/01,21,0,"956,7","956,7","955,7","365,7","31,3","20,8","33,1","31,3","20,9",20,54.0,46.0,54.0,310.0,6,"2,8",2020,01,01
2020/01/01,22,0,"957,2","957,2","956,7","13,7",30,"20,8","31,3",30,"20,9","20,5",58.0,54.0,58.0,324.0,6,"1,7",2020,01,01
2020/01/01,23,0,"958,3","958,3","957,2",,29,"21,2",30,29,"21,5","20,8",63.0,58.0,63.0,355.0,"4,3","1,5",2020,01,01
