data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,0,"1007,8","1007,8","1007,4",,"26,6","22,2","26,7","26,4","22,2","21,8",78.0,75.0,77.0,101.0,3,"1,1",2020,01,01
2020/01/01,1,0,1008,"1008,1","1007,7",,"26,7","22,2","26,8","26,6","22,5","22,2",78.0,76.0,77.0,119.0,"4,5",1,2020,01,01
2020/01/01,2,0,1008,"1008,1",1008,,"26,6","22,4","26,8","26,6","22,5","22,1",78.0,76.0,78.0,118.0,"4,2",",6",2020,01,01
2020/01/01,3,0,"1007,5",1008,"1007,5",,"26,5","22,1","26,7","26,5","22,4",22,78.0,76.0,77.0,91.0,"3,5",",9",2020,01,01
2020/01/01,4,0,"1006,6","1007,5","1006,6",,"26,2","21,7","26,5","26,2","22,1","21,7",78.0,76.0,76.0,108.0,"3,8",",9",2020,01,01
2020/01/01,5,0,"1006,3","1006,6","1006,3",,"25,8",22,"26,2","25,8","22,1","21,7",80.0,76.0,80.0,112.0,"3,5",",8",2020,01,01
2020/01/01,6,0,"1006,3","1006,4","1006,3",,"25,8",22,26,"25,8","22,2","21,8",80.0,78.0,79.0,104.0,"2,9",",6",2020,01,01
2020/01/01,7,0,"1006,4","1006,4","1006,2",,26,"22,1",26,"25,7","22,2","21,9",80.0,78.0,79.0,97.0,"3,9",",6",2020,01,01
2020/01/01,8,0,"1007,1","1007,1","1006,4",,26,22,"26,2","25,9","22,1","21,9",80.0,78.0,79.0,108.0,3,",7",2020,01,01
2020/01/01,9,0,"1007,7","1007,7","1007,1","126,1","26,6","22,2","26,6","25,9","22,2","21,9",79.0,76.0,76.0,94.0,"2,6",",7",2020,01,01
2020/01/01,10,0,"1008,4","1008,4","1007,7",549,"27,4","21,9","28,1","26,6","22,5","21,7",77.0,69.0,72.0,108.0,"3,5",1,2020,01,01
2020/01/01,11,0,"1008,3","1008,4","1008,3","1658,5","28,8","21,2","29,8","27,4","22,4",21,72.0,61.0,64.0,94.0,"4,2","1,6",2020,01,01
2020/01/01,12,0,"1008,5","1008,5","1008,3","1300,4","27,9","21,8",29,"27,9","21,9","21,3",69.0,64.0,69.0,88.0,"4,5","1,4",2020,01,01
2020/01/01,13,0,"1008,3","1008,6","1008,3","1228,5","28,7","21,7","29,5","27,8","22,3","21,2",70.0,63.0,66.0,80.0,"4,6","1,6",2020,01,01
2020/01/01,14,0,"1007,8","1008,3","1007,8","2247,3","28,9","21,9","30,3","28,6","22,3","21,3",67.0,61.0,66.0,90.0,"5,1","1,4",2020,01,01
2020/01/01,15,0,"1007,3","1007,8","1007,3","915,7",28,"21,6",29,"27,8",22,"21,3",70.0,65.0,68.0,84.0,"5,3","1,2",2020,01,01
2020/01/01,16,0,"1006,8","1007,3","1006,8","958,2","28,4","21,9","28,6","27,8","22,4","21,7",71.0,67.0,68.0,80.0,"4,1","1,5",2020,01,01
2020/01/01,17,0,"1006,1","1006,8","1006,1","1247,6","28,9","22,2","28,9","28,3","22,2","21,4",69.0,64.0,67.0,90.0,"4,5","1,1",2020,01,01
2020/01/01,18,0,"1005,5","1006,1","1005,5","1055,4","28,3","21,7","29,1","28,3","22,3","21,3",68.0,64.0,68.0,103.0,"4,6","1,8",2020,01,01
2020/01/01,19,0,"1005,7","1005,7","1005,3","779,6","27,8","21,7","28,5","27,8","22,2","21,5",69.0,68.0,69.0,78.0,"4,6","1,3",2020,01,01
2020/01/01,20,0,"1005,9","1005,9","1005,6","331,9","27,3","21,6","27,9","27,3","21,8","21,4",71.0,69.0,71.0,86.0,"3,9","1,1",2020,01,01
2020/01/01,21,0,"1006,6","1006,6","1005,9","29,3",27,"21,5","27,3","26,9","21,8","21,5",73.0,71.0,72.0,114.0,"4,4",1,2020,01,01
2020/01/01,22,0,"1006,7","1006,8","1006,6",,"26,7","21,7",27,"26,6",22,"21,4",76.0,72.0,74.0,99.0,"3,4",1,2020,01,01
2020/01/01,23,0,"1007,2","1007,2","1006,7",,"26,8","21,6","26,9","26,7","21,9","21,4",75.0,72.0,73.0,103.0,"3,9",",9",2020,01,01
2020/01/02,0,0,"1007,4","1007,4","1007,2",,"26,8","21,5","26,9","26,6","21,6","21,4",74.0,73.0,73.0,104.0,"4,3","1,1",2020,01,02
2020/01/02,1,0,"1007,6","1007,6","1007,4",,"26,7","21,5","26,8","26,6","21,6","21,3",74.0,72.0,73.0,103.0,"3,6",",9",2020,01,02
2020/01/02,2,0,"1007,6","1007,7","1007,6",,"26,7",22,"26,8","26,6",22,"21,4",76.0,73.0,75.0,116.0,"4,9",",8",2020,01,02
2020/01/02,3,0,"1007,2","1007,6","1007,2",,"26,6","21,8","26,8","26,6",22,"21,6",76.0,74.0,75.0,103.0,"3,9",",9",2020,01,02
2020/01/02,4,0,"1006,9","1007,2","1006,8",,"26,4","21,6","26,6","26,4","21,8","21,6",76.0,74.0,75.0,98.0,"3,8",",6",2020,01,02
2020/01/02,5,0,"1006,3","1006,9","1006,3",,"26,1","21,8","26,4",26,"21,9","21,5",78.0,75.0,78.0,120.0,2,",5",2020,01,02
2020/01/02,6,0,"1006,4","1006,4","1006,2",,"25,9","21,9","26,3","25,9","22,1","21,9",79.0,77.0,79.0,107.0,"2,1",",5",2020,01,02
2020/01/02,7,0,"1006,5","1006,5","1006,3",,"26,2","22,2","26,2","25,8","22,2","21,8",79.0,78.0,79.0,121.0,"2,5",",7",2020,01,02
2020/01/02,8,0,"1007,1","1007,1","1006,5",,"25,9","22,1","26,3","25,9","22,3",22,80.0,78.0,80.0,116.0,"3,7",",4",2020,01,02
2020/01/02,9,0,"1007,7","1007,7","1007,1","97,1","26,4","22,5","26,4","25,8","22,6","22,1",81.0,79.0,79.0,123.0,"2,9",",6",2020,01,02
2020/01/02,10,0,"1007,9","1007,9","1007,7","536,5","27,5","22,1","27,7","26,4","22,6","22,1",79.0,72.0,72.0,97.0,"4,1","1,3",2020,01,02
2020/01/02,11,0,"1008,3","1008,3","1007,9","898,7",28,"22,4","28,4","27,4","22,5","21,9",74.0,69.0,72.0,77.0,"4,6","1,7",2020,01,02
2020/01/02,12,0,"1008,6","1008,6","1008,3","1800,8","28,9","21,4","30,7","27,9","22,7","21,2",72.0,59.0,64.0,95.0,"5,8","2,2",2020,01,02
2020/01/02,13,0,"1008,3","1008,6","1008,3","2266,1","30,1","21,9","30,5","28,7","22,4","21,4",67.0,60.0,62.0,76.0,"6,1","1,7",2020,01,02
2020/01/02,14,0,"1008,1","1008,3","1008,1","3125,8",30,"21,7","31,1","29,1","22,2","20,9",64.0,56.0,61.0,87.0,"5,4","2,2",2020,01,02
2020/01/02,15,0,"1007,8","1008,1","1007,8","3531,3","29,9","21,3","31,3","29,7","22,5","20,8",63.0,57.0,60.0,99.0,"6,4","2,1",2020,01,02
2020/01/02,16,0,"1007,2","1007,8","1007,2","2855,4","29,5","21,6","30,9","29,3","22,5","21,1",65.0,58.0,63.0,87.0,"5,6","1,8",2020,01,02
2020/01/02,17,0,"1006,5","1007,2","1006,4",2326,"29,7","21,7","30,5","29,2","22,1","20,8",65.0,58.0,62.0,64.0,"8,4","1,5",2020,01,02
2020/01/02,18,0,1006,"1006,5",1006,"1910,4","29,4","21,5","30,4","28,9","21,8",21,64.0,59.0,63.0,84.0,"5,3","1,8",2020,01,02
2020/01/02,19,0,"1006,1","1006,2",1006,"1193,6","28,6","21,6","29,5","28,4","21,7","21,1",66.0,61.0,66.0,71.0,"5,4","1,8",2020,01,02
2020/01/02,20,0,"1006,3","1006,4","1006,1","435,9","27,7","21,8","28,8","27,7","21,9","21,4",70.0,65.0,70.0,85.0,"4,7","1,3",2020,01,02
2020/01/02,21,0,"1006,6","1006,6","1006,3","57,5","26,9","21,7","27,7","26,9","21,9","21,4",73.0,70.0,73.0,101.0,"4,2","1,4",2020,01,02
2020/01/02,22,0,"1007,1","1007,1","1006,6",,"26,8","21,9",27,"26,8","22,1","21,7",75.0,73.0,74.0,71.0,"4,2","1,4",2020,01,02
2020/01/02,23,0,"1007,5","1007,5",1007,,"26,7","21,9","26,8","26,6",22,"21,8",76.0,74.0,75.0,92.0,"3,7","1,2",2020,01,02
2020/01/03,0,0,"1008,2","1008,2","1007,5",,"26,6","22,1","26,7","26,6","22,3","21,9",77.0,75.0,76.0,88.0,4,1,2020,01,03
2020/01/03,1,0,"1008,3","1008,3","1008,2",,"26,6","22,2","26,7","26,5","22,2",22,77.0,76.0,77.0,88.0,4,",8",2020,01,03
