Data;Hora UTC;PRECIPITA��O TOTAL, HOR�RIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESS�O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESS�O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (W/m�);TEMPERATURA DO AR - BULBO SECO, HORARIA (�C);TEMPERATURA DO PONTO DE ORVALHO (�C);TEMPERATURA M�XIMA NA HORA ANT. (AUT) (�C);TEMPERATURA M�NIMA NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (�C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIRE��O HORARIA (gr) (� (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2020/01/01;0000 UTC;0;1011,8;1011,9;1011,1;;27,5;21,6;27,5;27,4;21,6;21,5;71;70;71;;;;
2020/01/01;0100 UTC;0;1011,9;1011,9;1011,7;;27,1;21,4;27,5;27,1;21,6;21,2;71;68;71;;;;
2020/01/01;0200 UTC;0;1011,8;1012;1011,8;;27;21,7;27,3;27;21,7;21,4;73;71;73;;;;
2020/01/01;0300 UTC;0;1011,5;1011,8;1011,5;;26,4;21,9;27;26,4;22;21,7;77;73;77;;;;
2020/01/01;0400 UTC;,8;1010,6;1011,5;1010,6;;24,5;22,1;26,4;24,5;22,4;21,7;87;77;87;;;;
2020/01/01;0500 UTC;0;1010,2;1010,6;1010,1;;24,3;22,4;24,6;24,3;22,5;22,2;89;87;89;;;;
2020/01/01;0600 UTC;,2;1010;1010,2;1010;;24,3;22,7;24,5;24,2;22,8;22,4;90;89;90;;;;
2020/01/01;0700 UTC;0;1010,3;1010,3;1010;;24,1;22,5;24,4;24,1;22,7;22,5;91;90;91;;;;
2020/01/01;0800 UTC;0;1010,9;1010,9;1010,3;;23,7;22,2;24,1;23,7;22,6;22,2;92;91;92;;;;
2020/01/01;0900 UTC;0;1011,5;1011,5;1010,9;114;24,3;22,9;24,3;23,6;22,9;22,2;92;91;92;;;;
2020/01/01;1000 UTC;0;1012;1012;1011,5;645,8;26,1;24,4;26,1;24,2;24,4;22,8;92;90;90;;;;
2020/01/01;1100 UTC;0;1012,2;1012,2;1012;1029,5;28,4;23,4;28,5;26;24,9;23,4;90;74;74;;;;
2020/01/01;1200 UTC;0;1012,1;1012,3;1012;1783,3;29,7;21,4;30,3;28,2;23,3;21;74;60;61;;;;
2020/01/01;1300 UTC;0;1012;1012,1;1012;1841,4;29,4;21;30,5;29,3;22;20,7;62;58;61;;;;
2020/01/01;1400 UTC;0;1011,5;1012;1011,4;2246,3;30,5;20,7;31,1;29,2;21,7;20,3;62;54;56;;;;
2020/01/01;1500 UTC;0;1011;1011,5;1011;2285,4;31;20,4;31,3;29,7;21,3;20,1;58;53;53;;;;
2020/01/01;1600 UTC;0;1010,5;1011;1010,5;1779,2;30,1;20,9;31;29,6;21,3;20,1;59;53;58;;;;
2020/01/01;1700 UTC;0;1009,7;1010,5;1009,7;2292,3;30,4;21,1;31,1;29,3;21,6;20,3;60;55;57;;;;
2020/01/01;1800 UTC;0;1009,3;1009,7;1009,2;1340,6;29;21;30,8;28,9;21,5;20,4;62;56;62;;;;
2020/01/01;1900 UTC;0;1009,3;1009,4;1009,2;698,5;28,9;20,8;29,1;28,6;21,4;20,6;64;61;62;;;;
