data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,0,"1011,8","1011,9","1011,1",,"27,5","21,6","27,5","27,4","21,6","21,5",71.0,70.0,71.0,,,,2020,01,01
2020/01/01,1,0,"1011,9","1011,9","1011,7",,"27,1","21,4","27,5","27,1","21,6","21,2",71.0,68.0,71.0,,,,2020,01,01
2020/01/01,2,0,"1011,8",1012,"1011,8",,27,"21,7","27,3",27,"21,7","21,4",73.0,71.0,73.0,,,,2020,01,01
2020/01/01,3,0,"1011,5","1011,8","1011,5",,"26,4","21,9",27,"26,4",22,"21,7",77.0,73.0,77.0,,,,2020,01,01
2020/01/01,4,",8","1010,6","1011,5","1010,6",,"24,5","22,1","26,4","24,5","22,4","21,7",87.0,77.0,87.0,,,,2020,01,01
2020/01/01,5,0,"1010,2","1010,6","1010,1",,"24,3","22,4","24,6","24,3","22,5","22,2",89.0,87.0,89.0,,,,2020,01,01
2020/01/01,6,",2",1010,"1010,2",1010,,"24,3","22,7","24,5","24,2","22,8","22,4",90.0,89.0,90.0,,,,2020,01,01
2020/01/01,7,0,"1010,3","1010,3",1010,,"24,1","22,5","24,4","24,1","22,7","22,5",91.0,90.0,91.0,,,,2020,01,01
2020/01/01,8,0,"1010,9","1010,9","1010,3",,"23,7","22,2","24,1","23,7","22,6","22,2",92.0,91.0,92.0,,,,2020,01,01
2020/01/01,9,0,"1011,5","1011,5","1010,9",114,"24,3","22,9","24,3","23,6","22,9","22,2",92.0,91.0,92.0,,,,2020,01,01
2020/01/01,10,0,1012,1012,"1011,5","645,8","26,1","24,4","26,1","24,2","24,4","22,8",92.0,90.0,90.0,,,,2020,01,01
2020/01/01,11,0,"1012,2","1012,2",1012,"1029,5","28,4","23,4","28,5",26,"24,9","23,4",90.0,74.0,74.0,,,,2020,01,01
