data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,0,"1006,3","1006,3","1005,9",,"25,9","22,1","26,4","25,9","22,1","21,1",79,73,79,52,5,"1,4",2020,01,01
2020/01/01,1,0,1007,1007,"1006,3",,26,"22,4","26,1","25,9","22,4","22,1",81,79,81,54,"4,8","1,7",2020,01,01
2020/01/01,2,0,"1006,9","1007,2","1006,9",,26,"22,7","26,1","25,9","22,8","22,4",82,80,82,38,"4,8","1,3",2020,01,01
2020/01/01,3,0,"1006,3","1006,9","1006,3",,"25,7","22,9",26,"25,7","22,9","22,7",85,82,85,40,4,1,2020,01,01
2020/01/01,4,0,"1005,2","1006,3","1005,2",,"25,7","23,1","25,8","25,6","23,2","22,9",86,85,86,34,"3,7","1,4",2020,01,01
2020/01/01,5,0,"1004,4","1005,2","1004,4",,"25,4",22,"25,8","25,4","23,1",22,86,81,81,41,"5,9","1,2",2020,01,01
2020/01/01,6,0,"1004,7","1004,8","1004,2",,"25,3","21,5","25,4",25,22,"21,4",82,80,80,39,"5,4","1,6",2020,01,01
2020/01/01,7,0,"1004,9","1004,9","1004,6",,"24,9","22,1","25,4","24,8","22,1","21,5",84,80,84,41,"5,6",1,2020,01,01
2020/01/01,8,0,"1005,3","1005,3","1004,9",,"24,7","21,9",25,"24,7","22,1","21,9",85,84,84,35,"4,8","1,1",2020,01,01
2020/01/01,9,0,"1006,1","1006,1","1005,3","59,3","24,7","22,2","24,8","24,5","22,3","21,9",86,84,86,29,"3,4","1,1",2020,01,01
2020/01/01,10,0,"1006,3","1006,3",1006,"347,1","25,3",22,"25,3","24,8","22,5",22,86,82,82,27,"3,5","1,4",2020,01,01
2020/01/01,11,0,"1006,8","1006,8","1006,3","583,5","25,9","22,9","25,9","25,2","22,9","21,9",84,81,84,21,"4,7","1,1",2020,01,01
2020/01/01,12,0,1007,1007,"1006,8",1613,"27,4","22,8","27,4","25,9","23,2","22,5",84,76,76,28,"4,7","1,7",2020,01,01
2020/01/01,13,0,"1006,7",1007,"1006,7","2476,6","29,8","23,6","29,8","27,4","23,9","22,5",77,69,69,20,6,"1,1",2020,01,01
2020/01/01,14,0,"1006,2","1006,7","1006,2","3052,3","30,3","21,8","31,5","29,3","23,9","21,8",69,60,61,49,"3,8","1,1",2020,01,01
2020/01/01,15,0,"1005,3","1006,2","1005,3","2596,1","29,4","23,2",31,"28,1","24,9","21,9",75,61,69,190,"4,7","1,3",2020,01,01
2020/01/01,16,0,"1004,4","1005,4","1004,4",1158,"28,7","23,9","29,4","27,9","24,1","22,5",78,69,75,118,"4,4",",9",2020,01,01
2020/01/01,17,0,"1003,7","1004,4","1003,7","2711,5","29,3","23,5","31,1","28,7","24,5","23,2",76,65,71,90,"5,5","1,6",2020,01,01
2020/01/01,18,0,"1003,7","1003,8","1003,4","2536,4","28,9",23,"30,2","28,6","24,4",23,75,70,71,76,"6,2",2,2020,01,01
2020/01/01,19,"10,2","1003,3","1004,5","1002,9","491,1","24,7","23,3","28,9","22,9","23,3","20,4",92,70,92,68,"9,5","2,1",2020,01,01
2020/01/01,20,0,"1003,4","1003,5","1003,1","435,5","25,3","23,7","25,3","24,1","23,7","22,5",92,90,91,62,"7,8","2,7",2020,01,01
