data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,,"1005,9","1005,9","1005,2","219,7","25,5","24,2","25,6","25,5","24,4","24,2",93.0,92.0,92.0,220.0,"3,1",",7",2020,01,01
2020/01/01,1,,"1006,4","1006,4","1005,9","303,6","25,2","23,8","25,5","25,2","24,2","23,8",92.0,92.0,92.0,213.0,"2,1",",2",2020,01,01
2020/01/01,2,,"1006,4","1006,6","1006,4","713,2","24,9","23,8","25,2","24,8","23,8","23,7",94.0,92.0,94.0,318.0,"1,1",0,2020,01,01
2020/01/01,3,,"1006,2","1006,5","1006,2","1048,8","24,8","23,8","24,9","24,8","23,8","23,8",94.0,94.0,94.0,16.0,",2",0,2020,01,01
2020/01/01,4,,"1005,4","1006,2","1005,4","997,6","24,6","23,7","24,8","24,6","23,8","23,7",95.0,94.0,95.0,277.0,",8",",1",2020,01,01
2020/01/01,5,,"1004,6","1005,4","1004,6","856,6","24,8","23,9","24,8","24,6","23,9","23,7",95.0,95.0,95.0,201.0,"1,7",",5",2020,01,01
2020/01/01,6,,"1004,3","1004,7","1004,2","42,5","24,9",24,"24,9","24,8","24,1","23,9",95.0,95.0,95.0,318.0,"1,7",",2",2020,01,01
2020/01/01,7,,"1004,1","1004,3","1004,1","138,4","24,8",24,"24,9","24,7",24,"23,9",95.0,95.0,95.0,300.0,"1,5",",3",2020,01,01
2020/01/01,8,,"1004,1","1004,2",1004,115,"25,1","24,3","25,1","24,8","24,3",24,95.0,95.0,95.0,302.0,"2,1",",8",2020,01,01
2020/01/01,9,,"1004,8","1004,8","1004,1","6,8","25,2","24,3","25,2",25,"24,4","24,2",95.0,95.0,95.0,270.0,"2,5",0,2020,01,01
2020/01/01,10,,"1005,2","1005,3","1004,8",,"25,8",25,"25,8","25,1",25,"24,3",95.0,95.0,95.0,297.0,"2,5",",7",2020,01,01
2020/01/01,11,,"1006,2","1006,2","1005,2",,"25,1","24,2",26,"25,1","25,1","24,1",95.0,94.0,95.0,311.0,"3,5",1,2020,01,01
2020/01/01,12,,"1006,4","1006,4","1006,1",",1","26,2","25,3","26,2","25,1","25,3","24,2",95.0,95.0,95.0,219.0,"3,4",",5",2020,01,01
2020/01/01,13,,"1006,7","1006,7","1006,4","172,4","26,7","25,8","26,7","25,7","25,9","24,8",95.0,94.0,95.0,281.0,"3,4",",3",2020,01,01
2020/01/01,14,,1006,"1006,7",1006,"1478,2","26,6","25,3","26,7","26,4","25,8","25,2",95.0,92.0,93.0,245.0,"3,8","1,8",2020,01,01
