data,hora,preciptacao_total_mm,pressao_atm_mB,pressao_atm_max_mB,pressao_atm_min_mB,radiacao_global_wpm2,temp_ar_bulbo_seco_c,temp_ponto_orvalho_c,temp_max_c,temp_min_c,temp_orvalho_max_c,temp_orvalor_min_c,umidade_relativa_max_prcnt,umidade_relativa_min_prcnt,umidade_relativa_prcnt,vento_dir_gr,vento_rajada_max_mps,vento_velocidade_mps,ano,mes,dia
2020/01/01,0,0,"1003,5","1003,5","1002,6",,26,"22,9","26,9",26,"22,9","22,6",83.0,78.0,83.0,32.0,"3,1",",4",2020,01,01
2020/01/01,1,0,1004,"1004,1","1003,5",,26,"21,6","26,2","25,8",23,"21,5",84.0,76.0,77.0,351.0,"2,4",1,2020,01,01
2020/01/01,2,0,"1003,8",1004,"1003,8",,"25,7","20,9",26,"25,6","21,6","20,9",77.0,75.0,75.0,48.0,"2,7","1,1",2020,01,01
2020/01/01,3,0,"1003,5","1003,9","1003,5",,25,"21,4","25,7","24,7","21,7",21,83.0,75.0,81.0,7.0,"2,5","1,2",2020,01,01
2020/01/01,4,0,"1002,9","1003,5","1002,9",,"24,4","21,5","25,2","24,4","21,5","21,3",84.0,80.0,84.0,323.0,"3,1",",7",2020,01,01
2020/01/01,5,0,"1002,7","1002,9","1002,5",,"24,1",22,"24,4",24,22,"21,5",88.0,84.0,88.0,322.0,"1,7",0,2020,01,01
2020/01/01,6,0,"1002,5","1002,7","1002,5",,"24,1",22,"24,2",24,"22,1","21,9",89.0,87.0,88.0,115.0,"1,4",",4",2020,01,01
2020/01/01,7,0,1002,"1002,6",1002,,"23,8",22,"24,2","23,7","22,1","21,8",90.0,87.0,90.0,66.0,"1,5",",5",2020,01,01
2020/01/01,8,0,"1002,6","1002,6",1002,,"23,6","21,9","23,9","23,5",22,"21,7",90.0,88.0,90.0,295.0,"1,4",0,2020,01,01
2020/01/01,9,0,1003,1003,"1002,6","12,5","23,8","21,8","23,8","23,4",22,"21,7",91.0,88.0,88.0,126.0,"1,7",",7",2020,01,01
2020/01/01,10,0,"1003,9","1003,9",1003,"103,1","24,9","21,4","24,9","23,8","21,8","21,4",88.0,81.0,81.0,85.0,"2,2",",1",2020,01,01
2020/01/01,11,0,"1004,2","1004,2","1003,9","446,9","26,8","21,3","26,8","24,9","21,7","21,2",82.0,72.0,72.0,92.0,"3,3","1,7",2020,01,01
2020/01/01,12,0,"1004,4","1004,5","1004,2","1303,1","29,1","21,3","29,1","26,8","21,7","20,6",72.0,63.0,63.0,78.0,"3,9","1,2",2020,01,01
2020/01/01,13,0,"1004,2","1004,5","1004,2","1743,1","30,8","20,6",31,"28,4","21,4","20,3",65.0,54.0,55.0,86.0,"4,9","2,4",2020,01,01
2020/01/01,14,0,"1003,6","1004,2","1003,6","1840,8","30,8","20,5",32,"30,2","21,1","19,7",56.0,51.0,54.0,114.0,"5,9","2,2",2020,01,01
2020/01/01,15,0,"1002,5","1003,6","1002,5",1753,"31,4","19,7","32,2","30,9",21,"19,6",54.0,49.0,50.0,12.0,5,"1,5",2020,01,01
2020/01/01,16,0,"1001,2","1002,5","1001,2","2297,6","33,5","18,1","34,5","31,4","20,4","18,1",50.0,40.0,40.0,72.0,"4,4","1,8",2020,01,01
2020/01/01,17,0,"999,9","1001,2","999,9",1692,"33,7","18,8","34,2","33,1","19,3","18,1",43.0,39.0,41.0,170.0,"4,9","1,8",2020,01,01
2020/01/01,18,0,"998,7","999,8","998,7","1392,9","34,2","18,8",35,33,"19,3","18,1",43.0,38.0,40.0,192.0,"4,1","1,5",2020,01,01
2020/01/01,19,0,"998,3","998,7","998,3","1015,3","33,7","18,5","34,7","33,5","19,2","18,1",43.0,38.0,41.0,146.0,"4,3","1,2",2020,01,01
2020/01/01,20,0,"998,6","998,6","998,2","661,8","33,7","18,8","34,6","33,6",19,"18,3",42.0,39.0,42.0,194.0,4,"1,5",2020,01,01
2020/01/01,21,0,"1000,5","1000,6","998,6",100,"27,4","21,2","33,7","27,4","21,2","18,4",69.0,41.0,69.0,64.0,"9,4","4,2",2020,01,01
2020/01/01,22,0,"1000,8","1000,8","1000,5",,"25,5","21,2","27,4","25,3","21,4",21,79.0,69.0,77.0,46.0,"8,6","4,7",2020,01,01
2020/01/01,23,0,"1001,5","1001,5","1000,6",,"24,7","21,7","25,6","24,3","21,7",21,85.0,76.0,83.0,1.0,8,"2,4",2020,01,01
2020/01/02,0,0,"1002,8","1002,8","1001,4",,"24,2","22,2","24,7","24,1","22,2","21,7",89.0,83.0,88.0,350.0,"7,8","4,2",2020,01,02
2020/01/02,1,",8","1003,8","1003,8","1002,6",,24,"22,3","24,2",24,"22,3","21,9",90.0,87.0,90.0,21.0,"7,8","2,8",2020,01,02
2020/01/02,2,",4","1003,3","1003,8","1003,2",,"23,2","21,5",24,"23,2","22,3","21,5",90.0,89.0,90.0,341.0,"5,5","1,8",2020,01,02
2020/01/02,3,"3,4","1003,3","1003,7","1003,3",,23,"21,7","23,3",23,"21,7","21,5",92.0,90.0,92.0,330.0,"4,1","1,1",2020,01,02
2020/01/02,4,"2,6","1003,1","1003,4","1003,1",,23,"21,6","23,1","22,9","21,7","21,6",92.0,92.0,92.0,320.0,"2,6","1,1",2020,01,02
2020/01/02,5,2,"1002,7","1003,1","1002,7",,"22,9","21,6",23,"22,9","21,8","21,6",93.0,92.0,93.0,262.0,"3,2",",3",2020,01,02
2020/01/02,6,"1,8","1002,2","1002,7","1002,2",,"23,1","21,8","23,1","22,9","21,9","21,6",93.0,93.0,93.0,231.0,"1,4",0,2020,01,02
2020/01/02,7,1,"1002,1","1002,2","1002,1",,"23,2",22,"23,2",23,22,"21,8",93.0,93.0,93.0,29.0,",4",0,2020,01,02
2020/01/02,8,",4","1002,4","1002,4","1002,1",,"23,1","21,9","23,2",23,22,"21,8",93.0,93.0,93.0,167.0,",4",0,2020,01,02
2020/01/02,9,0,"1002,7","1002,8","1002,4",",8","23,2","22,1","23,3","23,1","22,1","21,9",93.0,93.0,93.0,191.0,"1,3",",3",2020,01,02
2020/01/02,10,",2","1002,8","1002,8","1002,7","89,4","23,7","22,5","23,9","23,2","22,6",22,93.0,93.0,93.0,93.0,"1,8",",2",2020,01,02
2020/01/02,11,0,"1003,5","1003,5","1002,7",425,"24,7","22,5","24,8","23,7","22,8","22,4",93.0,88.0,88.0,113.0,2,",4",2020,01,02
2020/01/02,12,0,"1003,9",1004,"1003,5","382,9","24,9","22,7","25,2","24,7","22,9","22,4",88.0,85.0,88.0,328.0,"1,3",",1",2020,01,02
2020/01/02,13,0,"1003,9","1004,1","1003,9","792,1","26,6","23,3","26,6","24,9","23,4","22,3",87.0,81.0,82.0,188.0,"2,1",",6",2020,01,02
2020/01/02,14,0,"1003,9",1004,"1003,9","1081,6","27,3","22,7","27,5","26,2","23,5","22,6",83.0,75.0,76.0,186.0,"2,4",",9",2020,01,02
2020/01/02,15,0,"1003,6","1003,9","1003,6",1306,"28,3","22,8","28,6","27,1","23,3","22,3",78.0,70.0,72.0,4.0,"2,6",1,2020,01,02
2020/01/02,16,0,"1002,9","1003,6","1002,9","939,2","28,8","22,2","29,4","28,1","23,1",22,72.0,66.0,68.0,302.0,3,",4",2020,01,02
